merchant_id,merchant_name,merchant_category,emirate,onboarding_date,merchant_status
MER00375,Prime Services 375,Travel,Sharjah,2025-01-03,Active
MER00376,Global Restaurant 376,Retail,Fujairah,2025-07-27,Active
MER00377,Emirates Grocery 377,Grocery,Ajman,2024-01-08,Active
MER00378,Al Noor Fuel 378,Grocery,Ras Al Khaimah,2026-08-11,Active
MER00379,City Services 379,Services,Sharjah,2025-06-15,Suspended
MER00380,Emirates Travel 380,Grocery,Umm Al Quwain,2026-08-13,Active
MER00381,Metro Grocery 381,Services,Abu Dhabi,2026-01-19,Active
MER00382,City Services 382,Travel,Dubai,2024-09-30,Active
MER00383,City Services 383,Travel,Ras Al Khaimah,2025-12-02,Active
MER00384,Prime Travel 384,Fuel,Sharjah,2025-01-16,Inactive
MER00385,Prime Travel 385,Retail,Umm Al Quwain,2024-01-24,Active
MER00386,Emirates Fuel 386,Services,Sharjah,2024-12-26,Active
MER00387,Global Grocery 387,Electronics,Fujairah,2026-09-06,Active
MER00388,Al Noor Healthcare 388,Healthcare,Sharjah,2024-11-14,Active
MER00389,Al Noor Services 389,Restaurant,Sharjah,2025-01-20,Active
MER00390,City Services 390,Fuel,Umm Al Quwain,2025-03-24,Active
MER00391,Al Noor Restaurant 391,Healthcare,Abu Dhabi,2026-12-20,Active
MER00392,Metro Fuel 392,Healthcare,Sharjah,2025-07-12,Active
MER00393,Metro Fuel 393,Healthcare,Ajman,2025-06-26,Suspended
MER00394,Al Noor Restaurant 394,Restaurant,Abu Dhabi,2026-06-12,Active
MER00395,Al Noor Restaurant 395,Services,Abu Dhabi,2024-10-07,Active
MER00396,Emirates Healthcare 396,Retail,Dubai,2025-08-18,Active
MER00397,Prime Grocery 397,Retail,Umm Al Quwain,2025-12-13,Active
MER00398,Al Noor Healthcare 398,Healthcare,Abu Dhabi,2026-08-20,Inactive
MER00399,Global Restaurant 399,Grocery,Fujairah,2024-11-08,Active
MER00400,Prime Healthcare 400,Restaurant,Ajman,2024-11-21,Active
