record_id,case_date,department,business_area,process_type,source_system,transaction_amount,budget_amount,variance_amount,approval_status,invoice_status,sla_status,risk_level,exception_type,priority_level,owner_name,recommended_action,case_status,days_pending,pending_approval_flag,overdue_invoice_flag,payroll_exception_flag,sla_breach_flag,high_priority_flag,exposure_amount
OPS000109,2026-03-22,Internal Control,Compliance,Audit Evidence,SharePoint,12098.29,9855.85,2242.44,Approved,Not Applicable,Breached,Low,Policy attestation overdue,P1 - Immediate,Bilal Hussain,Send compliance reminder,Open,21,0,0,0,1,1,12098.29
OPS000110,2026-04-13,Treasury,Finance,Payment Approval,ERP Finance,116912.52,116690.57,221.95,Approved,Paid,Within SLA,Medium,Budget overrun,P1 - Immediate,Sara Rahman,Review budget exception,Open,27,0,0,0,0,1,116912.52
OPS000111,2026-03-24,Procurement Operations,Procurement,Purchase Order,Vendor Portal,37237.69,36230.7,1006.99,Pending,Not Applicable,Within SLA,Low,Price variance,P1 - Immediate,Grace Thomas,Review procurement variance,In Progress,22,1,0,0,0,1,37237.69
OPS000112,2026-01-15,Payroll Operations,Payroll,Salary Adjustment,Payroll Engine,34064.89,36116.25,-2051.36,Approved,Paid,Within SLA,Medium,WPS validation error,P1 - Immediate,Bilal Hussain,Correct WPS file,Open,28,0,0,1,0,1,34064.89
OPS000113,2026-05-26,Accounts Payable,Finance,Month-End Closing,D365 F&O,55365.9,51793.82,3572.08,Pending,Not Applicable,Within SLA,Low,Payment approval delay,P1 - Immediate,Mohamed Rafi,Escalate finance approval,In Progress,20,1,0,0,0,1,55365.9
OPS000114,2026-01-07,Audit Support,Compliance,Policy Attestation,SharePoint,9981.19,10227.42,-246.23,Approved,Not Applicable,Within SLA,High,Policy attestation overdue,P1 - Immediate,Priya Nair,Send compliance reminder,In Progress,18,0,0,0,0,1,9981.19
OPS000115,2026-02-04,Payroll Operations,Payroll,WPS File Submission,D365 F&O,40608.9,37261.03,3347.87,Pending,Overdue,Within SLA,Low,Bank file rejection,P2 - Same Week,Noura Ahmed,Resubmit bank file,In Progress,4,1,1,0,0,0,40608.9
OPS000116,2026-02-10,Audit Support,Compliance,Audit Evidence,Compliance Register,4765.23,4501.22,264.01,Approved,Paid,At Risk,Low,Policy attestation overdue,P1 - Immediate,Bilal Hussain,Send compliance reminder,Open,31,0,0,0,0,1,4765.23
OPS000117,2026-05-22,Accounts Payable,Finance,Month-End Closing,D365 F&O,38841.66,48544.21,-9702.55,Pending,Overdue,At Risk,Medium,Overdue invoice,P2 - Same Week,Omar Ali,Prioritize vendor payment,Open,4,1,1,0,0,0,38841.66
OPS000118,2026-06-24,Treasury,Finance,Payment Approval,D365 F&O,77675.79,65323.91,12351.88,Pending,Current,Breached,Low,Payment approval delay,P1 - Immediate,Noura Ahmed,Escalate finance approval,In Progress,7,1,0,0,1,1,77675.79
OPS000119,2026-03-24,WPS Compliance,Payroll,Monthly Payroll,WPS Bank Portal,76594.07,81893.36,-5299.29,Approved,Current,Within SLA,Low,Bank file rejection,P1 - Immediate,Omar Ali,Resubmit bank file,In Progress,19,0,0,0,0,1,76594.07
OPS000120,2026-02-13,Treasury,Finance,Month-End Closing,D365 F&O,79901.11,88715.51,-8814.4,Pending,Overdue,Within SLA,Medium,Overdue invoice,P1 - Immediate,Noura Ahmed,Prioritize vendor payment,Closed,1,1,1,0,0,1,0
OPS000121,2026-05-27,Vendor Management,Procurement,Contract Approval,D365 F&O,61019.47,64899.21,-3879.74,Approved,Paid,Within SLA,Medium,Vendor document expired,P1 - Immediate,Omar Ali,Request vendor document refresh,Open,25,0,0,0,0,1,61019.47
OPS000122,2026-02-10,Vendor Management,Procurement,Vendor Onboarding,Vendor Portal,26472.7,27884.49,-1411.79,Pending,Overdue,At Risk,Medium,PO approval delay,P1 - Immediate,Bilal Hussain,Escalate PO approval,Open,25,1,1,0,0,1,26472.7
OPS000123,2026-01-28,General Ledger,Finance,Invoice Processing,ERP Finance,33927.92,29651.63,4276.29,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Bilal Hussain,Prioritize vendor payment,Closed,15,1,1,0,0,1,0
OPS000124,2026-03-22,Compliance Review,Compliance,Policy Attestation,SharePoint,11936.97,13746.98,-1810.01,Approved,Not Applicable,Within SLA,Low,Policy attestation overdue,P2 - Same Week,Bilal Hussain,Send compliance reminder,Open,15,0,0,0,0,0,11936.97
OPS000125,2026-03-14,Recruitment,HR,Leave Approval,Service Desk,12029.38,12205.93,-176.55,Pending,Current,Breached,Medium,Approval pending,P1 - Immediate,Grace Thomas,Send approval reminder,In Progress,25,1,0,0,1,1,12029.38
OPS000126,2026-05-24,People Operations,HR,Contract Renewal,Service Desk,2301.53,2305.45,-3.92,Pending,Not Applicable,Breached,Medium,Delayed onboarding,P2 - Same Week,Omar Ali,Escalate onboarding owner,Open,7,1,0,0,1,0,2301.53
OPS000127,2026-03-28,Treasury,Finance,Payment Approval,D365 F&O,73289.4,69675.76,3613.64,Pending,Overdue,At Risk,Medium,Overdue invoice,P1 - Immediate,Sara Rahman,Prioritize vendor payment,In Progress,33,1,1,0,0,1,73289.4
OPS000128,2026-06-06,General Ledger,Finance,Invoice Processing,ERP Finance,89370.02,80398.8,8971.22,Pending,Overdue,Within SLA,Medium,Payment approval delay,P1 - Immediate,Aisha Khan,Escalate finance approval,In Progress,19,1,1,0,0,1,89370.02
OPS000129,2026-06-22,Accounts Payable,Finance,Payment Approval,Bank Portal,96118.69,106947.62,-10828.93,Pending,Not Applicable,Within SLA,High,Budget overrun,P1 - Immediate,Priya Nair,Review budget exception,In Progress,14,1,0,0,0,1,96118.69
OPS000130,2026-06-11,WPS Compliance,Payroll,Salary Adjustment,WPS Bank Portal,70732.9,67085.86,3647.04,Approved,Overdue,Within SLA,Low,Payroll variance,P1 - Immediate,Mohamed Rafi,Validate payroll variance,Open,26,0,1,0,0,1,70732.9
OPS000131,2026-06-06,General Ledger,Finance,Month-End Closing,Bank Portal,85428.59,86226.63,-798.04,Pending,Overdue,Within SLA,Medium,Overdue invoice,P1 - Immediate,Bilal Hussain,Prioritize vendor payment,In Progress,11,1,1,0,0,1,85428.59
OPS000132,2026-06-24,Purchase Control,Procurement,Contract Approval,Vendor Portal,59391.16,72972.06,-13580.9,Approved,Not Applicable,Breached,High,Price variance,P1 - Immediate,Priya Nair,Review procurement variance,In Progress,18,0,0,0,1,1,59391.16
OPS000133,2026-03-31,Treasury,Finance,Month-End Closing,ERP Finance,16820.21,18305.62,-1485.41,Approved,Paid,At Risk,High,Budget overrun,P1 - Immediate,Noura Ahmed,Review budget exception,Open,9,0,0,0,0,1,16820.21
OPS000134,2026-01-21,Internal Control,Compliance,Control Review,Compliance Register,18809.79,16657.85,2151.94,Pending,Not Applicable,Within SLA,Low,Evidence missing,P3 - Standard,Mohamed Rafi,Upload audit evidence,In Progress,6,1,0,0,0,0,18809.79
OPS000135,2026-06-21,WPS Compliance,Payroll,Monthly Payroll,Payroll Engine,9199.29,9039.78,159.51,Pending,Not Applicable,At Risk,Low,Payroll variance,P1 - Immediate,Sara Rahman,Validate payroll variance,Closed,35,1,0,0,0,1,0
OPS000136,2026-05-02,General Ledger,Finance,Month-End Closing,D365 F&O,40237.2,43172.46,-2935.26,Pending,Not Applicable,Within SLA,Medium,Budget overrun,P2 - Same Week,Sara Rahman,Review budget exception,Closed,2,1,0,0,0,0,0
OPS000137,2026-02-15,Accounts Payable,Finance,Payment Approval,ERP Finance,112551.53,138558.33,-26006.8,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Priya Nair,Prioritize vendor payment,Open,6,1,1,0,0,1,112551.53
OPS000138,2026-05-20,Audit Support,Compliance,Control Review,GRC Tool,11966.51,10496.12,1470.39,Approved,Not Applicable,Within SLA,Low,Policy attestation overdue,P2 - Same Week,Bilal Hussain,Send compliance reminder,Open,11,0,0,0,0,0,11966.51
OPS000139,2026-05-26,Access Management,IT Operations,Access Request,ITSM,21475.59,24886.28,-3410.69,Pending,Current,Within SLA,Medium,Device delivery delay,P2 - Same Week,Priya Nair,Expedite asset provisioning,Closed,11,1,0,0,0,0,0
OPS000140,2026-03-05,Accounts Payable,Finance,Payment Approval,ERP Finance,54991.42,48584.76,6406.66,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Omar Ali,Prioritize vendor payment,Open,23,1,1,0,0,1,54991.42
OPS000141,2026-02-10,General Ledger,Finance,Month-End Closing,Bank Portal,92956.32,101800.67,-8844.35,Pending,Paid,Within SLA,Low,Payment approval delay,P1 - Immediate,Priya Nair,Escalate finance approval,In Progress,8,1,0,0,0,1,92956.32
OPS000142,2026-06-05,Infrastructure,IT Operations,Incident Resolution,Endpoint Manager,22863.52,25217.1,-2353.58,Pending,Overdue,At Risk,Medium,Device delivery delay,P2 - Same Week,Bilal Hussain,Expedite asset provisioning,In Progress,5,1,1,0,0,0,22863.52
OPS000143,2026-05-25,People Operations,HR,Employee Onboarding,Service Desk,5452.84,5532.8,-79.96,Approved,Paid,Within SLA,Medium,Approval pending,P1 - Immediate,Priya Nair,Send approval reminder,Open,31,0,0,0,0,1,5452.84
OPS000144,2026-04-27,IT Service Desk,IT Operations,Asset Provisioning,Azure AD,14315.82,14652.51,-336.69,Approved,Not Applicable,Within SLA,Low,Access approval pending,P3 - Standard,Omar Ali,Approve or reject access request,In Progress,0,0,0,0,0,0,14315.82
OPS000145,2026-03-30,Employee Relations,HR,Employee Onboarding,Service Desk,23397.28,19363.77,4033.51,Pending,Not Applicable,Within SLA,Medium,Missing employee document,P1 - Immediate,Grace Thomas,Collect missing document,In Progress,26,1,0,0,0,1,23397.28
OPS000146,2026-04-07,General Ledger,Finance,Invoice Processing,Bank Portal,105260.06,85944.3,19315.76,Pending,Not Applicable,Breached,Low,Payment approval delay,P1 - Immediate,Mohamed Rafi,Escalate finance approval,In Progress,8,1,0,0,1,1,105260.06
OPS000147,2026-01-06,Infrastructure,IT Operations,Incident Resolution,Endpoint Manager,13838.91,14015.68,-176.77,Pending,Not Applicable,Within SLA,Low,Device delivery delay,P3 - Standard,Grace Thomas,Expedite asset provisioning,Open,7,1,0,0,0,0,13838.91
OPS000148,2026-01-05,Procurement Operations,Procurement,Purchase Order,ERP Procurement,72288.44,70352.59,1935.85,Approved,Paid,Within SLA,Low,Vendor document expired,P1 - Immediate,Mohamed Rafi,Request vendor document refresh,Open,28,0,0,0,0,1,72288.44
OPS000149,2026-01-15,IT Service Desk,IT Operations,Asset Provisioning,Azure AD,20486.76,22383.98,-1897.22,Approved,Current,Breached,High,SLA breach,P1 - Immediate,Mohamed Rafi,Escalate service owner,Closed,19,0,0,0,1,1,0
OPS000150,2026-03-12,Accounts Payable,Finance,Month-End Closing,Bank Portal,109610.38,116515.46,-6905.08,Pending,Current,Breached,High,Payment approval delay,P1 - Immediate,Bilal Hussain,Escalate finance approval,Closed,24,1,0,0,1,1,0
OPS000151,2026-04-15,Procurement Operations,Procurement,Vendor Onboarding,Vendor Portal,91143.89,89937.09,1206.8,Pending,Not Applicable,At Risk,Medium,Vendor document expired,P1 - Immediate,Grace Thomas,Request vendor document refresh,In Progress,3,1,0,0,0,1,91143.89
OPS000152,2026-02-04,Vendor Management,Procurement,Purchase Order,Vendor Portal,41305.9,32612.46,8693.44,Approved,Not Applicable,Within SLA,Medium,Vendor document expired,P2 - Same Week,Aisha Khan,Request vendor document refresh,Open,3,0,0,0,0,0,41305.9
OPS000153,2026-02-18,Access Management,IT Operations,Asset Provisioning,Endpoint Manager,5816.9,5139.55,677.35,Pending,Not Applicable,Breached,Low,Device delivery delay,P2 - Same Week,Omar Ali,Expedite asset provisioning,Closed,12,1,0,0,1,0,0
OPS000154,2026-05-03,IT Service Desk,IT Operations,Asset Provisioning,Endpoint Manager,5510.57,6425.6,-915.03,Approved,Overdue,Within SLA,Medium,Device delivery delay,P1 - Immediate,Bilal Hussain,Expedite asset provisioning,Open,22,0,1,0,0,1,5510.57
OPS000155,2026-05-08,General Ledger,Finance,Invoice Processing,Bank Portal,91991.4,83722.9,8268.5,Approved,Not Applicable,Within SLA,Medium,Budget overrun,P1 - Immediate,Grace Thomas,Review budget exception,Open,9,0,0,0,0,1,91991.4
OPS000156,2026-02-20,Compensation,Payroll,Monthly Payroll,WPS Bank Portal,71669.02,71659.01,10.01,Approved,Overdue,Within SLA,Medium,Bank file rejection,P1 - Immediate,Bilal Hussain,Resubmit bank file,In Progress,31,0,1,1,0,1,71669.02
OPS000157,2026-05-20,Compensation,Payroll,Monthly Payroll,Payroll Engine,81578.95,81969.62,-390.67,Pending,Not Applicable,At Risk,Low,Bank file rejection,P1 - Immediate,Mohamed Rafi,Resubmit bank file,In Progress,0,1,0,0,0,1,81578.95
OPS000158,2026-02-08,People Operations,HR,Employee Onboarding,Service Desk,9643.42,10097.95,-454.53,Approved,Current,Within SLA,Low,Delayed onboarding,P3 - Standard,Grace Thomas,Escalate onboarding owner,In Progress,0,0,0,0,0,0,9643.42
OPS000159,2026-05-16,Employee Relations,HR,Contract Renewal,Service Desk,919.99,1035.23,-115.24,Approved,Overdue,Breached,Low,Delayed onboarding,P3 - Standard,Mohamed Rafi,Escalate onboarding owner,In Progress,6,0,1,0,1,0,919.99
OPS000160,2026-05-15,Compensation,Payroll,WPS File Submission,WPS Bank Portal,11321.54,12361.53,-1039.99,Approved,Not Applicable,At Risk,High,WPS validation error,P1 - Immediate,Aisha Khan,Correct WPS file,Closed,5,0,0,1,0,1,0
OPS000161,2026-04-08,Recruitment,HR,Leave Approval,D365 HR,16100.33,17406.68,-1306.35,Approved,Overdue,At Risk,Low,Missing employee document,P3 - Standard,Aisha Khan,Collect missing document,Closed,6,0,1,0,0,0,0
OPS000162,2026-06-27,WPS Compliance,Payroll,WPS File Submission,WPS Bank Portal,78932.74,81844.23,-2911.49,Approved,Current,At Risk,Low,Payroll variance,P1 - Immediate,Mohamed Rafi,Validate payroll variance,Open,20,0,0,0,0,1,78932.74
OPS000163,2026-04-12,Procurement Operations,Procurement,Vendor Onboarding,ERP Procurement,30755.48,35901.65,-5146.17,Approved,Paid,Within SLA,Medium,Price variance,P2 - Same Week,Omar Ali,Review procurement variance,Closed,8,0,0,0,0,0,0
OPS000164,2026-03-30,Accounts Payable,Finance,Invoice Processing,ERP Finance,101044.27,92990.68,8053.59,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Priya Nair,Prioritize vendor payment,Closed,1,1,1,0,0,1,0
OPS000165,2026-04-02,Treasury,Finance,Payment Approval,ERP Finance,82364.15,88980.95,-6616.8,Pending,Overdue,At Risk,Medium,Overdue invoice,P1 - Immediate,Sara Rahman,Prioritize vendor payment,In Progress,5,1,1,0,0,1,82364.15
OPS000166,2026-03-23,Infrastructure,IT Operations,Access Request,ITSM,23602.53,23080.78,521.75,Pending,Not Applicable,Breached,High,SLA breach,P1 - Immediate,Aisha Khan,Escalate service owner,In Progress,35,1,0,0,1,1,23602.53
OPS000167,2026-05-22,People Operations,HR,Leave Approval,Service Desk,21661.1,17435.8,4225.3,Approved,Overdue,At Risk,Medium,Delayed onboarding,P2 - Same Week,Sara Rahman,Escalate onboarding owner,In Progress,15,0,1,0,0,0,21661.1
OPS000168,2026-02-13,Procurement Operations,Procurement,Vendor Onboarding,Vendor Portal,60442.06,47243.54,13198.52,Pending,Current,Within SLA,Low,PO approval delay,P2 - Same Week,Priya Nair,Escalate PO approval,Closed,16,1,0,0,0,0,0
OPS000169,2026-02-20,Vendor Management,Procurement,Purchase Order,ERP Procurement,3295.17,3123.31,171.86,Pending,Not Applicable,Breached,Low,PO approval delay,P1 - Immediate,Sara Rahman,Escalate PO approval,Closed,27,1,0,0,1,1,0
OPS000170,2026-06-04,Treasury,Finance,Invoice Processing,ERP Finance,23372.38,22183.19,1189.19,Approved,Overdue,At Risk,High,Budget overrun,P1 - Immediate,Noura Ahmed,Review budget exception,Open,15,0,1,0,0,1,23372.38
OPS000171,2026-04-11,Infrastructure,IT Operations,Access Request,Endpoint Manager,15009.56,15283.51,-273.95,Pending,Current,Breached,Medium,SLA breach,P2 - Same Week,Omar Ali,Escalate service owner,Open,13,1,0,0,1,0,15009.56
OPS000172,2026-04-15,Access Management,IT Operations,Incident Resolution,ITSM,7919.4,7135.95,783.45,Approved,Current,Within SLA,Low,Device delivery delay,P1 - Immediate,Grace Thomas,Expedite asset provisioning,In Progress,30,0,0,0,0,1,7919.4
OPS000173,2026-04-03,Purchase Control,Procurement,Contract Approval,D365 F&O,109942.15,88468.77,21473.38,Approved,Overdue,Within SLA,Medium,Price variance,P1 - Immediate,Bilal Hussain,Review procurement variance,Closed,25,0,1,0,0,1,0
OPS000174,2026-04-21,Compliance Review,Compliance,Policy Attestation,GRC Tool,5939.03,6525.46,-586.43,Approved,Overdue,Within SLA,Low,Evidence missing,P1 - Immediate,Sara Rahman,Upload audit evidence,Closed,29,0,1,0,0,1,0
OPS000175,2026-01-07,General Ledger,Finance,Invoice Processing,ERP Finance,110664.34,87748.79,22915.55,Pending,Overdue,Within SLA,Low,Budget overrun,P1 - Immediate,Bilal Hussain,Review budget exception,In Progress,13,1,1,0,0,1,110664.34
OPS000176,2026-04-23,Treasury,Finance,Month-End Closing,ERP Finance,10392.98,8026.93,2366.05,Pending,Not Applicable,Within SLA,Low,Budget overrun,P2 - Same Week,Mohamed Rafi,Review budget exception,Closed,10,1,0,0,0,0,0
OPS000177,2026-05-22,Accounts Payable,Finance,Payment Approval,Bank Portal,115119.36,99685.05,15434.31,Approved,Not Applicable,At Risk,Low,Budget overrun,P1 - Immediate,Mohamed Rafi,Review budget exception,In Progress,1,0,0,0,0,1,115119.36
OPS000178,2026-04-20,General Ledger,Finance,Invoice Processing,Bank Portal,26679.68,30045.66,-3365.98,Pending,Overdue,Within SLA,Medium,Overdue invoice,P2 - Same Week,Omar Ali,Prioritize vendor payment,Open,11,1,1,0,0,0,26679.68
OPS000179,2026-05-06,WPS Compliance,Payroll,Salary Adjustment,WPS Bank Portal,36091.14,35315.5,775.64,Approved,Not Applicable,Within SLA,Low,Bank file rejection,P2 - Same Week,Omar Ali,Resubmit bank file,Closed,19,0,0,0,0,0,0
OPS000180,2026-03-22,Procurement Operations,Procurement,Purchase Order,Vendor Portal,24007.73,26329.72,-2321.99,Approved,Current,Within SLA,Low,Vendor document expired,P2 - Same Week,Sara Rahman,Request vendor document refresh,In Progress,11,0,0,0,0,0,24007.73
OPS000181,2026-05-06,Vendor Management,Procurement,Purchase Order,ERP Procurement,101433.26,107489.33,-6056.07,Pending,Paid,Within SLA,Low,PO approval delay,P1 - Immediate,Priya Nair,Escalate PO approval,Closed,24,1,0,0,0,1,0
OPS000182,2026-05-06,General Ledger,Finance,Month-End Closing,ERP Finance,22152.28,22876.64,-724.36,Pending,Not Applicable,Within SLA,Low,Budget overrun,P2 - Same Week,Priya Nair,Review budget exception,Open,18,1,0,0,0,0,22152.28
OPS000183,2026-05-07,Purchase Control,Procurement,Contract Approval,ERP Procurement,15919.28,18109.08,-2189.8,Pending,Not Applicable,At Risk,Low,Price variance,P1 - Immediate,Grace Thomas,Review procurement variance,In Progress,28,1,0,0,0,1,15919.28
OPS000184,2026-06-17,People Operations,HR,Contract Renewal,HRMS,6938.97,7944.29,-1005.32,Approved,Paid,Within SLA,Medium,Delayed onboarding,P2 - Same Week,Bilal Hussain,Escalate onboarding owner,Closed,13,0,0,0,0,0,0
OPS000185,2026-06-06,Access Management,IT Operations,Incident Resolution,ITSM,3911.26,3452.27,458.99,Approved,Not Applicable,Within SLA,Low,Device delivery delay,P1 - Immediate,Noura Ahmed,Expedite asset provisioning,Open,34,0,0,0,0,1,3911.26
OPS000186,2026-03-10,WPS Compliance,Payroll,Salary Adjustment,D365 F&O,82021.76,86708.34,-4686.58,Pending,Paid,Breached,Low,Payroll variance,P1 - Immediate,Bilal Hussain,Validate payroll variance,Open,8,1,0,0,1,1,82021.76
OPS000187,2026-06-23,Infrastructure,IT Operations,Incident Resolution,ITSM,15993.85,16811.54,-817.69,Approved,Not Applicable,At Risk,Medium,Device delivery delay,P1 - Immediate,Noura Ahmed,Expedite asset provisioning,In Progress,25,0,0,0,0,1,15993.85
OPS000188,2026-04-05,Vendor Management,Procurement,Vendor Onboarding,Vendor Portal,2790.59,3173.09,-382.5,Pending,Overdue,Within SLA,Medium,Price variance,P1 - Immediate,Grace Thomas,Review procurement variance,Closed,22,1,1,0,0,1,0
OPS000189,2026-04-20,Payroll Operations,Payroll,WPS File Submission,WPS Bank Portal,71267.49,68954.93,2312.56,Approved,Current,Within SLA,Medium,WPS validation error,P2 - Same Week,Priya Nair,Correct WPS file,In Progress,3,0,0,1,0,0,71267.49
OPS000190,2026-02-10,Recruitment,HR,Contract Renewal,HRMS,5456.8,5868.44,-411.64,Approved,Current,Within SLA,High,Delayed onboarding,P1 - Immediate,Bilal Hussain,Escalate onboarding owner,Open,17,0,0,0,0,1,5456.8
OPS000191,2026-04-06,WPS Compliance,Payroll,Salary Adjustment,D365 F&O,36707.33,35279.48,1427.85,Pending,Not Applicable,At Risk,Medium,Payroll variance,P2 - Same Week,Omar Ali,Validate payroll variance,Open,0,1,0,1,0,0,36707.33
OPS000192,2026-02-27,Employee Relations,HR,Leave Approval,D365 HR,697.53,653.89,43.64,Approved,Paid,At Risk,Low,Missing employee document,P2 - Same Week,Omar Ali,Collect missing document,In Progress,14,0,0,0,0,0,697.53
OPS000193,2026-04-05,Recruitment,HR,Employee Onboarding,D365 HR,16218.62,17367.79,-1149.17,Approved,Current,Within SLA,Low,Missing employee document,P1 - Immediate,Sara Rahman,Collect missing document,In Progress,22,0,0,0,0,1,16218.62
OPS000194,2026-06-07,Audit Support,Compliance,Control Review,GRC Tool,22466.53,19231.47,3235.06,Approved,Overdue,Within SLA,Medium,Control gap,P2 - Same Week,Mohamed Rafi,Create remediation plan,In Progress,8,0,1,0,0,0,22466.53
OPS000195,2026-06-03,Purchase Control,Procurement,Contract Approval,Vendor Portal,5651.87,6632.67,-980.8,Pending,Not Applicable,Within SLA,Low,Price variance,P1 - Immediate,Aisha Khan,Review procurement variance,Open,25,1,0,0,0,1,5651.87
OPS000196,2026-03-03,Infrastructure,IT Operations,Incident Resolution,ITSM,12739.77,13218.43,-478.66,Approved,Paid,Breached,Medium,SLA breach,P2 - Same Week,Grace Thomas,Escalate service owner,Closed,8,0,0,0,1,0,0
OPS000197,2026-06-24,Accounts Payable,Finance,Payment Approval,D365 F&O,71515.21,54129.63,17385.58,Pending,Overdue,Breached,High,Overdue invoice,P1 - Immediate,Grace Thomas,Prioritize vendor payment,In Progress,18,1,1,0,1,1,71515.21
OPS000198,2026-04-13,Accounts Payable,Finance,Month-End Closing,Bank Portal,74885.53,66553.31,8332.22,Pending,Current,Within SLA,Medium,Payment approval delay,P1 - Immediate,Omar Ali,Escalate finance approval,Open,34,1,0,0,0,1,74885.53
OPS000199,2026-04-22,Treasury,Finance,Invoice Processing,D365 F&O,12630.0,12216.26,413.74,Pending,Overdue,Within SLA,Medium,Overdue invoice,P2 - Same Week,Aisha Khan,Prioritize vendor payment,In Progress,11,1,1,0,0,0,12630.0
OPS000200,2026-03-30,WPS Compliance,Payroll,Salary Adjustment,Payroll Engine,18357.04,16987.35,1369.69,Pending,Not Applicable,Breached,Medium,WPS validation error,P2 - Same Week,Omar Ali,Correct WPS file,In Progress,1,1,0,1,1,0,18357.04
OPS000201,2026-05-28,WPS Compliance,Payroll,Monthly Payroll,WPS Bank Portal,45862.55,41784.81,4077.74,Pending,Not Applicable,Within SLA,Medium,WPS validation error,P2 - Same Week,Aisha Khan,Correct WPS file,In Progress,7,1,0,1,0,0,45862.55
OPS000202,2026-01-04,IT Service Desk,IT Operations,Access Request,Azure AD,9883.0,8499.71,1383.29,Pending,Paid,Within SLA,High,Access approval pending,P1 - Immediate,Mohamed Rafi,Approve or reject access request,Open,26,1,0,0,0,1,9883.0
OPS000203,2026-03-23,General Ledger,Finance,Invoice Processing,Bank Portal,16529.61,17962.11,-1432.5,Approved,Not Applicable,Within SLA,Low,Budget overrun,P1 - Immediate,Priya Nair,Review budget exception,Open,25,0,0,0,0,1,16529.61
OPS000204,2026-03-21,Infrastructure,IT Operations,Access Request,Endpoint Manager,695.24,612.0,83.24,Approved,Not Applicable,At Risk,Low,Access approval pending,P1 - Immediate,Mohamed Rafi,Approve or reject access request,Closed,31,0,0,0,0,1,0
OPS000205,2026-05-20,IT Service Desk,IT Operations,Access Request,ITSM,1085.8,1103.84,-18.04,Approved,Overdue,Within SLA,Low,Access approval pending,P1 - Immediate,Noura Ahmed,Approve or reject access request,Closed,24,0,1,0,0,1,0
OPS000206,2026-05-16,People Operations,HR,Contract Renewal,D365 HR,24327.7,20847.61,3480.09,Approved,Not Applicable,Within SLA,Medium,Missing employee document,P1 - Immediate,Bilal Hussain,Collect missing document,In Progress,26,0,0,0,0,1,24327.7
OPS000207,2026-01-22,Treasury,Finance,Invoice Processing,Bank Portal,77372.84,73285.67,4087.17,Pending,Overdue,At Risk,Medium,Overdue invoice,P1 - Immediate,Grace Thomas,Prioritize vendor payment,Open,18,1,1,0,0,1,77372.84
OPS000208,2026-03-25,Vendor Management,Procurement,Vendor Onboarding,Vendor Portal,11275.77,9599.7,1676.07,Pending,Current,Within SLA,Low,Vendor document expired,P1 - Immediate,Omar Ali,Request vendor document refresh,Open,29,1,0,0,0,1,11275.77
OPS000209,2026-02-23,General Ledger,Finance,Payment Approval,ERP Finance,102666.66,81641.6,21025.06,Pending,Not Applicable,At Risk,Medium,Budget overrun,P1 - Immediate,Bilal Hussain,Review budget exception,Closed,13,1,0,0,0,1,0
OPS000210,2026-03-05,Compensation,Payroll,WPS File Submission,Payroll Engine,59174.67,56336.26,2838.41,Rejected,Not Applicable,Within SLA,Low,Payroll variance,P1 - Immediate,Priya Nair,Validate payroll variance,Open,35,0,0,0,0,1,59174.67
OPS000211,2026-02-05,People Operations,HR,Employee Onboarding,HRMS,3702.52,4181.88,-479.36,Approved,Current,At Risk,Medium,Missing employee document,P2 - Same Week,Omar Ali,Collect missing document,Closed,16,0,0,0,0,0,0
OPS000212,2026-01-17,People Operations,HR,Leave Approval,D365 HR,2753.48,3135.97,-382.49,Pending,Not Applicable,Breached,Low,Missing employee document,P1 - Immediate,Grace Thomas,Collect missing document,Closed,27,1,0,0,1,1,0
OPS000213,2026-04-08,Treasury,Finance,Payment Approval,D365 F&O,27729.14,23391.62,4337.52,Approved,Paid,Within SLA,Medium,Budget overrun,P2 - Same Week,Priya Nair,Review budget exception,In Progress,15,0,0,0,0,0,27729.14
OPS000214,2026-05-21,General Ledger,Finance,Invoice Processing,D365 F&O,47504.29,45585.94,1918.35,Approved,Overdue,Within SLA,High,Budget overrun,P1 - Immediate,Grace Thomas,Review budget exception,Closed,34,0,1,0,0,1,0
OPS000215,2026-04-02,Infrastructure,IT Operations,Asset Provisioning,Azure AD,22860.59,22882.47,-21.88,Approved,Not Applicable,Within SLA,Low,Access approval pending,P2 - Same Week,Priya Nair,Approve or reject access request,Open,17,0,0,0,0,0,22860.59
OPS000216,2026-05-30,Accounts Payable,Finance,Invoice Processing,D365 F&O,79681.57,70379.82,9301.75,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Grace Thomas,Prioritize vendor payment,Closed,14,1,1,0,0,1,0
OPS000217,2026-02-14,Accounts Payable,Finance,Invoice Processing,Bank Portal,97229.7,106837.29,-9607.59,Pending,Not Applicable,At Risk,High,Budget overrun,P1 - Immediate,Mohamed Rafi,Review budget exception,In Progress,9,1,0,0,0,1,97229.7
